,MenuName,Price,RestaurantName,Rating,Type
0,Tavuk Döner Large Dürüm (45 cm.),70.5,Maydonoz Döner,8.1/10,Döner
1,Tavuk Döner Medium Dürüm,56.5,Maydonoz Döner,8.1/10,Döner
2,Tavuk Döner XLarge Dürüm (45 cm.),76.5,Maydonoz Döner,8.1/10,Döner
3,Tavuk Döner Medium Dürüm Menü,66.5,Maydonoz Döner,8.1/10,Döner
4,Tavuk Döner Small Dürüm Menü,58.5,Maydonoz Döner,8.1/10,Döner
5,Tavuk Döner Large Dürüm Menü,83.5,Maydonoz Döner,8.1/10,Döner
6,Algida Menüsü (Tavuk Döner Small Dürüm),72.45,Maydonoz Döner,8.1/10,Döner
7,Algida Menüsü (Tavuk Döner Medium Dürüm),79.65,Maydonoz Döner,8.1/10,Döner
8,Algida Menüsü (Maytako (Tavuk Dönerden)),111.6,Maydonoz Döner,8.1/10,Döner
9,Algida Menüsü (Et Döner Medium Dürüm),92.25,Maydonoz Döner,8.1/10,Döner
10,Tavuk Döner XLarge Dürüm (45 cm.) + Pepsi Max,82.5,Maydonoz Döner,8.1/10,Döner
11,Maytako (Tavuk Dönerden) 2 Adet,70.5,Maydonoz Döner,8.1/10,Döner
12,2'li Maytako Menü (Tavuk Dönerden),96.5,Maydonoz Döner,8.1/10,Döner
13,Maytako Parti (Tavuk Dönerden),190.5,Maydonoz Döner,8.1/10,Döner
14,Tavuk Döner XLarge Dürüm Menü,89.5,Maydonoz Döner,8.1/10,Döner
15,Tavuk Döner Maydonoz Small Dürüm Menü,77.5,Maydonoz Döner,8.1/10,Döner
16,Tavuk Döner Maydonoz Medium Dürüm Menü,85.5,Maydonoz Döner,8.1/10,Döner
17,Tavuk Döner Maydonoz Large Dürüm Menü,102.5,Maydonoz Döner,8.1/10,Döner
18,Tavuk Döner Maydonoz XLarge Dürüm Menü,108.5,Maydonoz Döner,8.1/10,Döner
19,Et Döner Small Dürüm Menü,70.5,Maydonoz Döner,8.1/10,Döner
20,Et Döner Medium Dürüm Menü,80.5,Maydonoz Döner,8.1/10,Döner
